id,data,hora,autor,seguidores,titulo,likes,conteudo,replicas,categoria,ente,teoria,conflito,imagem
id_49,30/12/2025,,robertorequiaoofical,56700,"O Paraná está infestado por ratos, até velhos políticos aderem a ratazanada! Falta-nos o flautista de Hamelin para livrar o estado desta praga.",159,"Publicação que sugere que o estado do Paraná está infestado de ratos, esses ratos seriam os políticos locais.",Perfeita analogia,Desumanização,Políticos,animalização,Sim,Imagem de desenho
id_50,14/05/2023,,fernandoaugsto530,1025,O lula terrorista!é o próprio Satanás e quer destruir o Brasil,,Publicação que sugere que Lula é terrorista e é o próprio Satanás,,Desumanização,O presidente Lula,demonização,Sim,Imagem política
id_51,16/10/2022,,erotildesjuliodos,1624,LULA LADRÃO O SATANÁS É O CANDIDATO FAVORITO DOS BANDIDOS.,5,"Post que coloca Lula como um ladrão e Satanás. Na visão do autor, Lula é o candidato favorito dos bandidos",,Desumanização,O presidente Lula,demonização,Sim,Imagem política
id_52,13/02/2024,,democrastico,31600,Descansar q ninguém é de ferro!!,493,Charge que trata Lula como um demônio,Boa/ Porque não parte logo para o descanso eterno rss/ Descanso será a depender de onde ele irá. Se for pra o inferno será tormenta eterna.,Desumanização,O presidente Lula,demonização,Sim,Charge
id_53,04/06/2021,,majolonog2,1853,LULA É O SATANÁS NA FACE DA TERRA,3,"Notícia que diz que Lula é amigo do povo palestino, e que o líder do Hamas espera sua volta. O autor do texto chama Lula de Satanás por conta disso.",,Desumanização,O presidente Lula,demonização,Sim,Notícia política
id_54,27/11/2025,,pixacaograpixoegraffiti,7909,Bolsonaro verme,65,"Post que chama Bolsonaro de verme, com a mensagem da imagem também falando: ""debocha dos doentes agora filho da puta""",,Desumanização,Jair Bolsonaro,animalização,Sim,Imagem política
id_55,07/08/2020,,olaviano_sergipe,2097,Demônios....Ainda demorou pra que esses vermes jogassem em alguém honesto a culpa dessa infâmia.,32,Publicação que chama os esquerdistas de demônios por uma notícia sugerir que um homem atacou um motoboy  por ser seguidor de Olavo de Carvalho,"Eu não sabia que Olavo de Carvalho é obrigado a saber da Cida particular de seus seguidores.Pior mesmo seria se fosse seguidor do pudim de cana/ Pronto. Agora, todos os seguidores de Olavo são racistas.",Desumanização,Grupo político da esquerda,demonização,Sim,Notícia política
id_56,29/03/2020,,karina_barros_santos,1902,"Sabe pq ele pede pra vc trabalhar? Pq ele não quer pagar o direito do trabalhador se ausentar na quarentena, entenda que para esses vermes políticos e empresários é inadmissível trabalhador receber em casa!",23,"Post que coloca Bolsonaro como a morte por ser favorável a trabalhar durante a quarentena. A autora coloca Bolsonaro e outros políticos como vermes por achar que seria inadmissível, para os políticos, o trabalhador ficar em casa recebendo salário.",verme/ facista do caraio,Desumanização,Jair Bolsonaro e políticos,animalização,Sim,Imagem política
id_57,04/11/2021,,blogueirodogoias,2793,"98% dos políticos brasileiros não tem muito diferença dos vermes, parasitas malditos.",10,"Publicação que coloca os políticos como vermes, parasitas malditos por sugarem do povo tudo em troca da salvação do país. ",,Desumanização,Políticos,animalização,Sim,Charge
id_58,07/09/2021,,claudiocaricaturista,2307,Os vermes dos políticos corruptos estão traçando o nosso Brasil,10,"Post que sugere que o Brasil progride a noite porque os políticos estão dormindo. O autor diz que os políticos, que são vermes e corruptos, estão ""traçando"" o país.","Tem alguns que são bons, temos que aprender a votar, diversas vezes perdemos grandes presidentes por conta de votarmos mal...",Desumanização,Politicos,animalização,Sim,Post de cunho político
id_59,25/01/2023,,lourdes_melo29,8672,"Capetas vagabundos, larapios",52,"Publicação que aponta uma possível contradição entre os valores ""Deus, Pátria e Família"" com as atitudes dos manifestantes do 08 de janeiro de 2023. A autora os chama de capetas, vagabundos e larápios.",Vândalos nojentos/ Vão tudo pru'inferno esses cão/ O contraditório.../ Vc falou comunismo? Lava jato ladrão de 9 dedos?,Desumanização,Manifestantes do 08 de janeiro de 2023,demonização,Sim,Post de cunho político
id_60,15/01/2026,,soninha_e,1957,E os capetas saíram de todos os cantos,1,"Publicação que diz que o fato de Bolsonaro falar ""Deus acima de todos"" fez com que todo o inferno se levantasse contra ele. A autora sugere que os capetas saíram de todos os cantos a partir disso. Uma referência clara ao grupo político da esquerda",,Desumanização,Grupo político da esquerda,demonização,Sim,Post de cunho político
id_61,10/12/2025,,queissocamarada,80500,"O verdadeiro pesadelo é esse congresso inimigo do povo que enquanto você dorme eles defendem bandido, tentam se blindar e destroem o nosso país.",5582,Post que retrata os políticos como ratos,VAMOS PARA AS RUAS #CongressoInimigoDoPovo #ForaHugoMota/ #congressoinimigodopovo/ #ForaHugoMota/ A história vai fazer o Hugo Motta pagar por isso. Seja na cadeia ou no cemitério.,Desumanização,Congresso Nacional,animalização,Sim,Charge
id_62,17/08/2024,,jovembakari,1045,"O Brasil e sua mania de idolatrar vermes, um cara que apoiou e era financiado pela ditadura, e pra piorar era racista e assediador escancaradamente em tv aberta, fazia perguntas de cunho sexual para crianças, e as pessoas batiam palmas e davam risada como se estivessem assistindo um espetáculo, bajulando esse velho maldit0, um verme desse morre e um país inteiro trata ele como se fosse um Deus🤦🏾‍♂️ o mundo está de cabeça pra baixo.",69,"Post que trata Silvio Santos como um verme, apoiado pela ditadura de 1964, racista, assediador, maldito.",FINALMENTE ALGUÉM FALOU...,Desumanização,Sílvio Santos,animalização,Sim,Charge
id_63,13/08/2021,,tatiane_ribas80,1042,"Bolsonaro que era ditador, mas quem está prendendo geral por crime de opinião é o STF. Corruptos, safados, porcos, imundos, lixos, ditadores, psicopatas!!!!!!!!",2,"Notícia que diz que Moraes determinou a prisão de Roberto Jefferson, aliado de Bolsonaro. Por conta disso, a autora da publicação, com tom de deboche no trecho ""Bolsonaro que era ditador, mas quem está prendendo geral por crime de opinião é o STF"". A autora chama a oposição de Bolsonaro de porcos, psicopatas, lixos, safados, imundos.",,Desumanização,Grupo político da esquerda e o STF,animalização,Sim,Notícia política
id_64,27/01/2026,,ferdinando.b.s,1871,"Adolf Hitler morreu em 30 de abril de 1945. Luiz Inácio Lula da Silva nasceu em 27 de outubro de 1945. Ou seja, mesmo ano, mas com quase 6 meses de diferença. O demônio não dá nem um ano de paz ",3,"Post que iguala Lula a Hitler, e o chama de demônio, pois o fato de um ter morrido em 1945 e o outro ter nascido em 1945, seria porque ""o demônio não dá folga""",,Desumanização,O presidente Lula,demonização,Sim,Post de cunho político
id_65,28/01/2022,,cosmolemos,5732,"O EXORCISTA, Padre Kelmon, expulsa o Demônio LULA Barrabás do Aborto e do Conunismo ateu do Brasil.",7,"Publicação que trata o ex-candidato Padre Kelmon como um exorcista por, segundo o autor, ter expulsado o demônio Lula, que na visão do autor, Lula é favorável ao aborto, é comunista e ateu.",,Desumanização,O presidente Lula,demonização,Sim,Imagem política
